iShares Core Corporate Bond ETF,
,
Share Class Inception,27-May-2020
,
Month End Date,Monthly Total (NAV) Return
31-May-2020,--
30-Jun-2020,0.86
31-Jul-2020,0.94
31-Aug-2020,0.26
30-Sep-2020,0.41
31-Oct-2020,0.60
30-Nov-2020,0.78
31-Dec-2020,0.01
31-Jan-2021,-0.06
28-Feb-2021,-1.78
31-Mar-2021,0.11
30-Apr-2021,0.55
31-May-2021,0.18
30-Jun-2021,0.29
31-Jul-2021,0.96
31-Aug-2021,0.07
30-Sep-2021,-0.82
31-Oct-2021,-2.89
30-Nov-2021,1.05
31-Dec-2021,0.19
31-Jan-2022,-0.60
28-Feb-2022,-1.14
31-Mar-2022,-3.10
30-Apr-2022,-1.40
31-May-2022,-0.62
30-Jun-2022,-1.40
