iShares Global 100 (AUD Hedged) ETF,
,
Share Class Inception,15-Dec-2014
,
Month End Date,Monthly Total (NAV) Return
31-Dec-2014,--
31-Jan-2015,-1.30
28-Feb-2015,6.07
31-Mar-2015,-0.60
30-Apr-2015,1.39
31-May-2015,1.07
30-Jun-2015,-4.20
31-Jul-2015,2.11
31-Aug-2015,-6.95
30-Sep-2015,-2.36
31-Oct-2015,8.99
30-Nov-2015,1.16
31-Dec-2015,-2.53
31-Jan-2016,-4.61
29-Feb-2016,-2.26
31-Mar-2016,5.01
30-Apr-2016,0.20
31-May-2016,2.28
30-Jun-2016,0.12
31-Jul-2016,3.56
31-Aug-2016,1.15
30-Sep-2016,0.05
31-Oct-2016,0.43
30-Nov-2016,1.99
31-Dec-2016,4.21
31-Jan-2017,0.33
28-Feb-2017,3.65
31-Mar-2017,1.60
30-Apr-2017,0.91
31-May-2017,2.43
30-Jun-2017,-0.52
31-Jul-2017,1.65
31-Aug-2017,0.76
30-Sep-2017,2.10
31-Oct-2017,3.93
30-Nov-2017,0.95
31-Dec-2017,1.02
31-Jan-2018,3.37
28-Feb-2018,-3.57
31-Mar-2018,-2.87
30-Apr-2018,2.23
31-May-2018,1.50
30-Jun-2018,0.42
31-Jul-2018,4.48
31-Aug-2018,1.63
30-Sep-2018,1.01
31-Oct-2018,-5.44
30-Nov-2018,0.59
31-Dec-2018,-7.78
31-Jan-2019,5.69
28-Feb-2019,3.22
31-Mar-2019,2.72
30-Apr-2019,4.10
31-May-2019,-5.94
30-Jun-2019,5.98
31-Jul-2019,1.45
31-Aug-2019,-2.42
30-Sep-2019,3.10
31-Oct-2019,1.93
30-Nov-2019,2.93
31-Dec-2019,3.23
31-Jan-2020,0.72
29-Feb-2020,-8.96
31-Mar-2020,-10.05
30-Apr-2020,9.90
31-May-2020,2.65
30-Jun-2020,3.80
31-Jul-2020,3.12
31-Aug-2020,7.10
30-Sep-2020,-5.00
31-Oct-2020,-3.34
30-Nov-2020,10.15
31-Dec-2020,3.91
31-Jan-2021,0.03
28-Feb-2021,1.70
31-Mar-2021,3.93
30-Apr-2021,4.31
31-May-2021,0.46
30-Jun-2021,3.24
31-Jul-2021,2.19
31-Aug-2021,2.90
30-Sep-2021,-4.14
31-Oct-2021,5.81
30-Nov-2021,-0.29
31-Dec-2021,4.32
31-Jan-2022,-2.63
28-Feb-2022,-2.65
31-Mar-2022,3.34
30-Apr-2022,-7.02
31-May-2022,-0.16
30-Jun-2022,-7.28
