ETF Names,STD_2019_2020,Mean_2019_2020
iShares Asia 50 ETF,3.5184147435588526,1.286153846153846
iShares China Large-Cap ETF,3.488395413955042,0.2076923076923078
iShares Core Cash ETF,0.03682947537517004,0.07692307692307691
iShares Core Composite Bond ETF,1.0142927307191665,0.3869230769230769
iShares Core Global Corporate Bond (AUD Hedged) ETF,2.5476213138875954,0.6392307692307692
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,6.119099146032393,0.4792307692307691
iShares Core MSCI World ex Australia ESG Leaders ETF,4.105201672175286,0.6815384615384618
iShares Core S&P/ASX 200 ETF,7.404534213782587,-0.06538461538461562
iShares Edge MSCI Australia Minimum Volatility ETF,7.241138439322639,0.017692307692307657
iShares Edge MSCI Australia Multifactor ETF,7.65153889331404,-0.028461538461538708
iShares Edge MSCI World Minimum Volatility ETF,3.7654902292618777,0.29
iShares Edge MSCI World Multifactor ETF,4.450914916030589,0.4553846153846152
iShares Enhanced Cash ETF,0.03948384934342596,0.08615384615384615
iShares Global 100 (AUD Hedged) ETF,5.49017969441102,1.0969230769230767
iShares Global 100 ETF,3.3860445118009657,1.3015384615384613
iShares Global Consumer Staples ETF,3.088493326144809,0.43076923076923074
iShares Global Healthcare ETF,3.203619147312246,1.5161538461538462
iShares Global High Yield Bond (AUD Hedged) ETF,4.391459514405964,0.05000000000000007
iShares Government Inflation ETF,2.2540874553597643,0.19461538461538463
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,4.63071739471797,0.3346153846153844
iShares MSCI EAFE ETF,3.7430491135792843,0.1
iShares MSCI Emerging Markets ETF,3.9144425217916097,0.20461538461538467
iShares MSCI Japan ETF,3.3792475645569535,0.6015384615384616
iShares MSCI South Korea ETF,4.65764714454379,0.5046153846153848
iShares S&P 500 (AUD Hedged) ETF,6.36765897086447,0.8984615384615385
iShares S&P 500 ETF,4.171038117106936,1.1661538461538459
iShares S&P/ASX 20 ETF,6.691531195742104,-0.2369230769230769
iShares S&P/ASX Dividend Opportunities ETF,7.326628374179581,-0.40999999999999986
iShares S&P/ASX Small Ordinaries ETF,8.89194687516571,-0.022307692307692344
iShares S&P Mid-Cap ETF,6.252687627260982,0.24769230769230785
iShares S&P Small-Cap ETF,6.479837268453664,-0.14076923076923079
iShares Treasury ETF,1.2461839185988395,0.3907692307692307
