ETF Names,STD_1_years,Returns_Average_1_years,Class
iShares Asia 50 ETF,4.323177546962894,-1.7215384615384617,name_3
iShares China Large-Cap ETF,7.037962081200087,-1.1046153846153848,name_4
iShares Core Cash ETF,0.016132464481796,0.0053846153846153,name_6
iShares Core Composite Bond ETF,1.755787864646816,-0.7992307692307692,name_1
iShares Core Global Corporate Bond (AUD Hedged) ETF,1.7249897807203798,-1.0469230769230768,name_1
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,4.990665517512901,-0.6138461538461539,name_4
iShares Core MSCI World ex Australia ESG Leaders ETF,4.172249285764706,0.0484615384615387,name_2
iShares Core S&P/ASX 200 ETF,4.080421515430697,-0.273076923076923,name_2
iShares Edge MSCI Australia Minimum Volatility ETF,4.060677283409752,-0.0199999999999999,name_2
iShares Edge MSCI Australia Multifactor ETF,4.099393325972227,-0.533846153846154,name_2
iShares Edge MSCI World Minimum Volatility ETF,2.940767604310837,0.3815384615384613,name_5
iShares Edge MSCI World Multifactor ETF,3.2626560282957136,-0.2492307692307691,name_2
iShares Enhanced Cash ETF,0.0185015591858549,0.0061538461538461,name_6
iShares Global 100 (AUD Hedged) ETF,4.284791231487936,-0.1823076923076921,name_2
iShares Global 100 ETF,3.727770523640515,0.4830769230769227,name_5
iShares Global Consumer Staples ETF,3.574886048031497,0.6653846153846155,name_5
iShares Global Healthcare ETF,3.419324982117572,1.05,name_5
iShares Global High Yield Bond (AUD Hedged) ETF,2.204922523204236,-1.02,name_1
iShares Government Inflation ETF,2.181174701146856,-0.786923076923077,name_1
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,3.415878645835786,-1.9153846153846157,name_3
iShares MSCI EAFE ETF,2.803740404604224,-0.6546153846153846,name_1
iShares MSCI Emerging Markets ETF,3.4843623188799944,-1.2484615384615383,name_3
iShares MSCI Japan ETF,3.4254528055538764,-0.8346153846153848,name_2
iShares MSCI South Korea ETF,4.0001177867273245,-2.3661538461538467,name_3
iShares S&P 500 (AUD Hedged) ETF,5.15133714281781,-0.7392307692307689,name_4
iShares S&P 500 ETF,3.926538241772588,0.2723076923076925,name_2
iShares S&P/ASX 20 ETF,3.959927317385303,-0.2407692307692308,name_2
iShares S&P/ASX Dividend Opportunities ETF,4.254899438385029,-0.0523076923076924,name_2
iShares S&P/ASX Small Ordinaries ETF,5.42847832482335,-1.3446153846153843,name_4
iShares S&P Mid-Cap ETF,2.928681772244456,-0.3753846153846153,name_1
iShares S&P Small-Cap ETF,2.738523137451822,-0.4738461538461538,name_1
iShares Treasury ETF,1.9456730428680944,-0.7946153846153846,name_1
