iShares Asia 50 ETF,
,
Share Class Inception,13-Nov-2007
,
Month End Date,Monthly Total (NAV) Return
30-Nov-2007,--
31-Dec-2007,-1.34
31-Jan-2008,-13.64
29-Feb-2008,0.61
31-Mar-2008,-0.72
30-Apr-2008,6.12
31-May-2008,-3.89
30-Jun-2008,-9.88
31-Jul-2008,0.97
31-Aug-2008,2.03
30-Sep-2008,-6.51
31-Oct-2008,-5.94
30-Nov-2008,-6.16
31-Dec-2008,0.97
31-Jan-2009,2.59
28-Feb-2009,-5.84
31-Mar-2009,3.55
30-Apr-2009,9.06
31-May-2009,2.38
30-Jun-2009,-2.04
31-Jul-2009,11.09
31-Aug-2009,-4.58
30-Sep-2009,3.98
31-Oct-2009,-3.63
30-Nov-2009,0.41
31-Dec-2009,6.52
31-Jan-2010,-4.25
28-Feb-2010,-1.19
31-Mar-2010,3.61
30-Apr-2010,1.36
31-May-2010,0.53
30-Jun-2010,0.22
31-Jul-2010,-0.84
31-Aug-2010,-1.09
30-Sep-2010,0.65
31-Oct-2010,1.66
30-Nov-2010,3.57
31-Dec-2010,-0.17
31-Jan-2011,5.04
28-Feb-2011,-6.39
31-Mar-2011,3.53
30-Apr-2011,-2.84
31-May-2011,1.91
30-Jun-2011,-4.49
31-Jul-2011,-1.72
31-Aug-2011,-7.30
30-Sep-2011,-1.51
31-Oct-2011,2.47
30-Nov-2011,-3.49
31-Dec-2011,1.74
31-Jan-2012,6.20
29-Feb-2012,4.06
31-Mar-2012,1.66
30-Apr-2012,0.82
31-May-2012,-3.89
30-Jun-2012,-2.99
31-Jul-2012,1.41
31-Aug-2012,-0.15
30-Sep-2012,6.13
31-Oct-2012,0.12
30-Nov-2012,2.17
31-Dec-2012,4.38
31-Jan-2013,-0.39
28-Feb-2013,2.08
31-Mar-2013,-4.23
30-Apr-2013,1.65
31-May-2013,6.46
30-Jun-2013,-1.06
31-Jul-2013,5.03
31-Aug-2013,1.65
30-Sep-2013,-0.29
31-Oct-2013,2.08
30-Nov-2013,5.25
31-Dec-2013,-0.15
31-Jan-2014,-3.85
28-Feb-2014,0.33
31-Mar-2014,-3.10
30-Apr-2014,1.23
31-May-2014,3.71
30-Jun-2014,-0.25
31-Jul-2014,5.94
31-Aug-2014,-0.74
30-Sep-2014,-1.37
31-Oct-2014,2.61
30-Nov-2014,3.37
31-Dec-2014,2.61
31-Jan-2015,8.04
28-Feb-2015,1.37
31-Mar-2015,3.63
30-Apr-2015,5.18
31-May-2015,0.07
30-Jun-2015,-3.52
31-Jul-2015,-1.96
31-Aug-2015,-6.98
30-Sep-2015,-1.16
31-Oct-2015,8.19
30-Nov-2015,-5.17
31-Dec-2015,-1.25
31-Jan-2016,-5.84
29-Feb-2016,-1.24
31-Mar-2016,3.75
30-Apr-2016,-0.01
31-May-2016,4.25
30-Jun-2016,1.41
31-Jul-2016,3.27
31-Aug-2016,5.14
30-Sep-2016,0.39
31-Oct-2016,-0.59
30-Nov-2016,1.71
31-Dec-2016,-0.03
31-Jan-2017,1.64
28-Feb-2017,1.35
31-Mar-2017,3.71
30-Apr-2017,4.22
31-May-2017,5.17
30-Jun-2017,-1.10
31-Jul-2017,1.34
31-Aug-2017,1.72
30-Sep-2017,1.11
31-Oct-2017,8.00
30-Nov-2017,2.58
31-Dec-2017,-0.67
31-Jan-2018,5.00
28-Feb-2018,-1.72
31-Mar-2018,0.52
30-Apr-2018,2.89
31-May-2018,-2.41
30-Jun-2018,-2.34
31-Jul-2018,0.18
31-Aug-2018,1.69
30-Sep-2018,-0.64
31-Oct-2018,-10.12
30-Nov-2018,2.03
31-Dec-2018,0.74
31-Jan-2019,5.86
28-Feb-2019,2.37
31-Mar-2019,1.10
30-Apr-2019,4.16
31-May-2019,-8.22
30-Jun-2019,6.81
31-Jul-2019,-0.84
31-Aug-2019,-2.85
30-Sep-2019,3.24
31-Oct-2019,2.12
30-Nov-2019,2.52
31-Dec-2019,4.41
31-Jan-2020,-0.92
29-Feb-2020,3.41
31-Mar-2020,-5.19
30-Apr-2020,-0.24
31-May-2020,-1.45
30-Jun-2020,5.70
31-Jul-2020,2.91
31-Aug-2020,0.36
30-Sep-2020,3.00
31-Oct-2020,5.45
30-Nov-2020,4.86
31-Dec-2020,2.59
31-Jan-2021,8.07
28-Feb-2021,0.22
31-Mar-2021,-1.09
30-Apr-2021,-1.37
31-May-2021,-1.18
30-Jun-2021,3.92
31-Jul-2021,-6.44
31-Aug-2021,-0.44
30-Sep-2021,-4.79
31-Oct-2021,-1.60
30-Nov-2021,1.42
31-Dec-2021,-1.74
31-Jan-2022,4.32
28-Feb-2022,-9.21
31-Mar-2022,-8.37
30-Apr-2022,-0.80
31-May-2022,0.93
30-Jun-2022,0.42
