iShares Core Composite Bond ETF,
,
Share Class Inception,12-Mar-2012
,
Month End Date,Monthly Total (NAV) Return
31-Mar-2012,--
30-Apr-2012,1.53
31-May-2012,3.05
30-Jun-2012,-0.14
31-Jul-2012,0.37
31-Aug-2012,0.60
30-Sep-2012,0.91
31-Oct-2012,0.03
30-Nov-2012,-0.01
31-Dec-2012,0.17
31-Jan-2013,-0.24
28-Feb-2013,0.57
31-Mar-2013,-0.25
30-Apr-2013,1.56
31-May-2013,-0.09
30-Jun-2013,-1.10
31-Jul-2013,0.86
31-Aug-2013,-0.34
30-Sep-2013,0.50
31-Oct-2013,-0.06
30-Nov-2013,-0.13
31-Dec-2013,0.52
31-Jan-2014,1.07
28-Feb-2014,0.33
31-Mar-2014,0.00
30-Apr-2014,0.89
31-May-2014,1.35
30-Jun-2014,0.79
31-Jul-2014,0.28
31-Aug-2014,0.98
30-Sep-2014,-0.34
31-Oct-2014,0.95
30-Nov-2014,1.23
31-Dec-2014,1.69
31-Jan-2015,1.59
28-Feb-2015,0.26
31-Mar-2015,0.75
30-Apr-2015,-1.12
31-May-2015,0.01
30-Jun-2015,-0.93
31-Jul-2015,1.29
31-Aug-2015,0.62
30-Sep-2015,0.25
31-Oct-2015,0.28
30-Nov-2015,-0.89
31-Dec-2015,0.32
31-Jan-2016,1.21
29-Feb-2016,1.02
31-Mar-2016,-0.23
30-Apr-2016,0.25
31-May-2016,1.24
30-Jun-2016,1.32
31-Jul-2016,0.70
31-Aug-2016,0.44
30-Sep-2016,-0.24
31-Oct-2016,-1.29
30-Nov-2016,-1.46
31-Dec-2016,-0.20
31-Jan-2017,0.61
28-Feb-2017,0.16
31-Mar-2017,0.43
30-Apr-2017,0.71
31-May-2017,1.17
30-Jun-2017,-0.92
31-Jul-2017,0.23
31-Aug-2017,-0.02
30-Sep-2017,-0.34
31-Oct-2017,1.09
30-Nov-2017,0.86
31-Dec-2017,-0.56
31-Jan-2018,-0.26
28-Feb-2018,0.29
31-Mar-2018,0.80
30-Apr-2018,-0.34
31-May-2018,0.67
30-Jun-2018,0.45
31-Jul-2018,0.15
31-Aug-2018,0.80
30-Sep-2018,-0.46
31-Oct-2018,0.49
30-Nov-2018,0.23
31-Dec-2018,1.48
31-Jan-2019,0.63
28-Feb-2019,0.93
31-Mar-2019,1.79
30-Apr-2019,0.29
31-May-2019,1.69
30-Jun-2019,1.01
31-Jul-2019,0.96
31-Aug-2019,1.49
30-Sep-2019,-0.49
31-Oct-2019,-0.51
30-Nov-2019,0.80
31-Dec-2019,-1.65
31-Jan-2020,2.31
29-Feb-2020,0.84
31-Mar-2020,-0.22
30-Apr-2020,-0.09
31-May-2020,0.27
30-Jun-2020,0.31
31-Jul-2020,0.36
31-Aug-2020,-0.43
30-Sep-2020,1.07
31-Oct-2020,0.26
30-Nov-2020,-0.12
31-Dec-2020,-0.28
31-Jan-2021,-0.45
28-Feb-2021,-3.61
31-Mar-2021,0.79
30-Apr-2021,0.55
31-May-2021,0.25
30-Jun-2021,0.68
31-Jul-2021,1.75
31-Aug-2021,0.09
30-Sep-2021,-1.53
31-Oct-2021,-3.59
30-Nov-2021,2.08
31-Dec-2021,0.08
31-Jan-2022,-1.03
28-Feb-2022,-1.23
31-Mar-2022,-3.78
30-Apr-2022,-1.52
31-May-2022,-0.90
30-Jun-2022,-1.49
