iShares Core Global Corporate Bond (AUD Hedged) ETF,
,
Share Class Inception,04-Dec-2015
,
Month End Date,Monthly Total (NAV) Return
31-Dec-2015,--
31-Jan-2016,0.09
29-Feb-2016,1.18
31-Mar-2016,2.48
30-Apr-2016,1.04
31-May-2016,0.04
30-Jun-2016,2.17
31-Jul-2016,1.56
31-Aug-2016,0.62
30-Sep-2016,-0.24
31-Oct-2016,-1.08
30-Nov-2016,-2.09
31-Dec-2016,0.94
31-Jan-2017,0.11
28-Feb-2017,1.44
31-Mar-2017,-0.24
30-Apr-2017,0.88
31-May-2017,1.01
30-Jun-2017,0.03
31-Jul-2017,0.60
31-Aug-2017,0.64
30-Sep-2017,-0.18
31-Oct-2017,0.53
30-Nov-2017,-0.02
31-Dec-2017,0.76
31-Jan-2018,-0.75
28-Feb-2018,-1.07
31-Mar-2018,0.15
30-Apr-2018,-0.51
31-May-2018,0.36
30-Jun-2018,-0.41
31-Jul-2018,0.62
31-Aug-2018,0.34
30-Sep-2018,-0.06
31-Oct-2018,-1.19
30-Nov-2018,-0.21
31-Dec-2018,1.14
31-Jan-2019,2.02
28-Feb-2019,0.43
31-Mar-2019,2.16
30-Apr-2019,0.31
31-May-2019,0.80
30-Jun-2019,2.31
31-Jul-2019,0.88
31-Aug-2019,2.01
30-Sep-2019,-0.51
31-Oct-2019,0.20
30-Nov-2019,0.16
31-Dec-2019,0.24
31-Jan-2020,1.98
29-Feb-2020,0.04
31-Mar-2020,-6.57
30-Apr-2020,4.56
31-May-2020,1.15
30-Jun-2020,1.86
31-Jul-2020,1.77
31-Aug-2020,-1.08
30-Sep-2020,0.11
31-Oct-2020,-0.06
30-Nov-2020,2.18
31-Dec-2020,0.42
31-Jan-2021,-1.01
28-Feb-2021,-2.18
31-Mar-2021,0.05
30-Apr-2021,0.36
31-May-2021,0.58
30-Jun-2021,1.09
31-Jul-2021,1.17
31-Aug-2021,-0.24
30-Sep-2021,-1.19
31-Oct-2021,0.21
30-Nov-2021,-0.10
31-Dec-2021,-0.16
31-Jan-2022,-2.82
28-Feb-2022,-2.26
31-Mar-2022,-1.50
30-Apr-2022,-4.65
31-May-2022,-0.18
30-Jun-2022,-2.98
