iShares Edge MSCI Australia Multifactor ETF,
,
Share Class Inception,11-Oct-2016
,
Month End Date,Monthly Total (NAV) Return
31-Oct-2016,--
30-Nov-2016,2.03
31-Dec-2016,3.42
31-Jan-2017,-0.52
28-Feb-2017,3.25
31-Mar-2017,1.85
30-Apr-2017,0.91
31-May-2017,-3.12
30-Jun-2017,1.96
31-Jul-2017,0.13
31-Aug-2017,1.86
30-Sep-2017,0.13
31-Oct-2017,3.68
30-Nov-2017,1.72
31-Dec-2017,2.74
31-Jan-2018,-0.81
28-Feb-2018,0.77
31-Mar-2018,-3.45
30-Apr-2018,3.61
31-May-2018,1.92
30-Jun-2018,2.20
31-Jul-2018,-0.32
31-Aug-2018,1.18
30-Sep-2018,0.28
31-Oct-2018,-6.64
30-Nov-2018,-2.07
31-Dec-2018,0.30
31-Jan-2019,3.75
28-Feb-2019,6.66
31-Mar-2019,-0.17
30-Apr-2019,2.73
31-May-2019,0.40
30-Jun-2019,4.02
31-Jul-2019,4.17
31-Aug-2019,-3.48
30-Sep-2019,1.13
31-Oct-2019,-0.80
30-Nov-2019,1.88
31-Dec-2019,-0.35
31-Jan-2020,4.03
29-Feb-2020,-9.55
31-Mar-2020,-19.71
30-Apr-2020,10.39
31-May-2020,6.80
30-Jun-2020,1.10
31-Jul-2020,1.84
31-Aug-2020,2.08
30-Sep-2020,-2.82
31-Oct-2020,2.42
30-Nov-2020,6.00
31-Dec-2020,3.59
31-Jan-2021,-0.69
28-Feb-2021,-0.40
31-Mar-2021,1.70
30-Apr-2021,5.43
31-May-2021,1.39
30-Jun-2021,3.19
31-Jul-2021,1.33
31-Aug-2021,-0.03
30-Sep-2021,-2.74
31-Oct-2021,-0.81
30-Nov-2021,-1.23
31-Dec-2021,3.94
31-Jan-2022,-6.22
28-Feb-2022,1.99
31-Mar-2022,5.72
30-Apr-2022,0.36
31-May-2022,-3.45
30-Jun-2022,-8.99
