iShares MSCI Emerging Markets ETF,
,
Share Class Inception,07-Apr-2003
,
Month End Date,Monthly Total (NAV) Return
30-Apr-2003,--
31-May-2003,3.86
30-Jun-2003,1.89
31-Jul-2003,9.62
31-Aug-2003,7.25
30-Sep-2003,-3.75
31-Oct-2003,3.73
30-Nov-2003,-0.30
31-Dec-2003,3.71
31-Jan-2004,1.94
29-Feb-2004,2.35
31-Mar-2004,1.86
30-Apr-2004,-2.99
31-May-2004,1.17
30-Jun-2004,2.83
31-Jul-2004,-2.96
31-Aug-2004,2.54
30-Sep-2004,3.28
31-Oct-2004,0.14
30-Nov-2004,5.87
31-Dec-2004,3.29
31-Jan-2005,1.70
28-Feb-2005,6.48
31-Mar-2005,-4.81
30-Apr-2005,-3.47
31-May-2005,6.73
30-Jun-2005,3.39
31-Jul-2005,8.10
31-Aug-2005,2.38
30-Sep-2005,6.69
31-Oct-2005,-4.67
30-Nov-2005,8.27
31-Dec-2005,6.83
31-Jan-2006,9.48
28-Feb-2006,-0.54
31-Mar-2006,5.99
30-Apr-2006,-0.22
31-May-2006,-10.55
30-Jun-2006,1.32
31-Jul-2006,-0.97
31-Aug-2006,2.27
30-Sep-2006,2.08
31-Oct-2006,1.98
30-Nov-2006,5.13
31-Dec-2006,5.13
31-Jan-2007,1.12
28-Feb-2007,-3.31
31-Mar-2007,1.80
30-Apr-2007,1.39
31-May-2007,4.62
30-Jun-2007,1.09
31-Jul-2007,2.10
31-Aug-2007,4.69
30-Sep-2007,2.21
31-Oct-2007,5.38
30-Nov-2007,-2.36
31-Dec-2007,0.66
31-Jan-2008,-12.58
29-Feb-2008,0.34
31-Mar-2008,-2.87
30-Apr-2008,5.61
31-May-2008,1.86
30-Jun-2008,-9.68
31-Jul-2008,-2.71
31-Aug-2008,1.51
30-Sep-2008,-7.80
31-Oct-2008,-11.18
30-Nov-2008,-7.67
31-Dec-2008,1.85
31-Jan-2009,1.27
28-Feb-2009,-6.36
31-Mar-2009,6.04
30-Apr-2009,9.71
31-May-2009,5.64
30-Jun-2009,-2.44
31-Jul-2009,8.35
31-Aug-2009,-2.51
30-Sep-2009,4.33
31-Oct-2009,-3.70
30-Nov-2009,4.37
31-Dec-2009,5.75
31-Jan-2010,-5.65
28-Feb-2010,-0.34
31-Mar-2010,5.30
30-Apr-2010,-0.70
31-May-2010,0.22
30-Jun-2010,-1.24
31-Jul-2010,1.72
31-Aug-2010,-0.81
30-Sep-2010,2.24
31-Oct-2010,1.76
30-Nov-2010,-0.50
31-Dec-2010,0.06
31-Jan-2011,-0.65
28-Feb-2011,-2.41
31-Mar-2011,4.08
30-Apr-2011,-2.61
31-May-2011,-0.29
30-Jun-2011,-2.02
31-Jul-2011,-3.13
31-Aug-2011,-6.63
30-Sep-2011,-6.14
31-Oct-2011,3.92
30-Nov-2011,-3.30
31-Dec-2011,-0.96
31-Jan-2012,7.25
29-Feb-2012,4.00
31-Mar-2012,0.87
30-Apr-2012,-1.64
31-May-2012,-4.99
30-Jun-2012,-1.57
31-Jul-2012,-0.83
31-Aug-2012,1.41
30-Sep-2012,5.28
31-Oct-2012,-0.37
30-Nov-2012,0.63
31-Dec-2012,5.46
31-Jan-2013,0.79
28-Feb-2013,0.43
31-Mar-2013,-3.72
30-Apr-2013,1.35
31-May-2013,5.30
30-Jun-2013,-1.86
31-Jul-2013,3.10
31-Aug-2013,-1.04
30-Sep-2013,1.42
31-Oct-2013,3.52
30-Nov-2013,2.03
31-Dec-2013,0.75
31-Jan-2014,-4.24
28-Feb-2014,0.53
31-Mar-2014,-0.52
30-Apr-2014,0.37
31-May-2014,3.02
30-Jun-2014,1.23
31-Jul-2014,3.40
31-Aug-2014,1.59
30-Sep-2014,-1.10
31-Oct-2014,0.70
30-Nov-2014,1.87
31-Dec-2014,-0.55
31-Jan-2015,5.64
28-Feb-2015,2.46
31-Mar-2015,0.94
30-Apr-2015,4.26
31-May-2015,-1.19
30-Jun-2015,-3.00
31-Jul-2015,-2.83
31-Aug-2015,-5.69
30-Sep-2015,-2.09
31-Oct-2015,5.46
30-Nov-2015,-5.44
31-Dec-2015,-2.64
31-Jan-2016,-3.89
29-Feb-2016,-1.16
31-Mar-2016,5.09
30-Apr-2016,1.30
31-May-2016,1.34
30-Jun-2016,1.17
31-Jul-2016,2.84
31-Aug-2016,3.59
30-Sep-2016,-0.59
31-Oct-2016,0.76
30-Nov-2016,-1.82
31-Dec-2016,2.24
31-Jan-2017,0.56
28-Feb-2017,1.72
31-Mar-2017,3.30
30-Apr-2017,4.19
31-May-2017,3.37
30-Jun-2017,-2.02
31-Jul-2017,1.72
31-Aug-2017,2.86
30-Sep-2017,0.61
31-Oct-2017,5.82
30-Nov-2017,1.13
31-Dec-2017,0.54
31-Jan-2018,4.57
28-Feb-2018,-0.94
31-Mar-2018,-0.44
30-Apr-2018,1.21
31-May-2018,-3.82
30-Jun-2018,-1.88
31-Jul-2018,1.55
31-Aug-2018,-0.05
30-Sep-2018,-0.58
31-Oct-2018,-7.06
30-Nov-2018,1.81
31-Dec-2018,-0.10
31-Jan-2019,6.51
28-Feb-2019,0.92
31-Mar-2019,1.29
30-Apr-2019,3.30
31-May-2019,-5.85
30-Jun-2019,4.70
31-Jul-2019,-0.90
31-Aug-2019,-1.57
30-Sep-2019,1.59
31-Oct-2019,1.99
30-Nov-2019,1.76
31-Dec-2019,3.29
31-Jan-2020,-1.45
29-Feb-2020,-0.09
31-Mar-2020,-11.26
30-Apr-2020,0.36
31-May-2020,1.56
30-Jun-2020,2.68
31-Jul-2020,3.92
31-Aug-2020,-0.23
30-Sep-2020,2.14
31-Oct-2020,3.50
30-Nov-2020,3.87
31-Dec-2020,2.13
31-Jan-2021,3.76
28-Feb-2021,-0.12
31-Mar-2021,0.90
30-Apr-2021,-0.20
31-May-2021,1.44
30-Jun-2021,4.02
31-Jul-2021,-4.45
31-Aug-2021,2.16
30-Sep-2021,-2.73
31-Oct-2021,-2.79
30-Nov-2021,1.60
31-Dec-2021,-1.20
31-Jan-2022,3.15
28-Feb-2022,-7.09
31-Mar-2022,-6.62
30-Apr-2022,-0.80
31-May-2022,-0.33
30-Jun-2022,-1.15
